🕘️更新时间,#genre#
CCTV-7国防军事,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-7国防军事,https://www.freetv.top/migu/673168121.m3u8?migutoken=a878b713604abd82c57cce75de174e0284d3f101e21d0c3e362670e4b5a5e75d9b42846e5e0adf92c1ad15c63d60934f3e68c25f787bc0665d12acde75a6db4761278e79b762292ed5b5a2fae3
CCTV-7国防军事,http://219.135.180.210:18888/hls/7/index.m3u8
CCTV-7国防军事,http://113.140.86.162:8009/hls/504/index.m3u8
CCTV-7国防军事,http://112.46.85.60:8009/hls/504/index.m3u8
CCTV-7国防军事,http://123.182.60.29:9002/hls/9/index.m3u8
CCTV-7国防军事,http://113.220.234.228:9999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8
CCTV-7国防军事,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7国防军事,http://183.94.1.118:8801/tsfile/live/0007_1.m3u8
CCTV-7国防军事,http://110.80.17.38:9901/tsfile/live/0007_1.m3u8
CCTV-8电视剧,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-8电视剧,https://www.freetv.top/migu/624878356.m3u8?migutoken=170b73b07e0cf0d307afea3545da5b9609d7c15461a2f4ac0f43634101df9baf391a446b91e5f84446b6a3b0934bb4730e2f3c4a32a565f904f22c8ff745a094d45dfd49c54f31b0b78156a080
CCTV-8电视剧,http://219.135.180.210:18888/hls/8/index.m3u8
CCTV-8电视剧,http://113.140.86.162:8009/hls/8/index.m3u8
CCTV-8电视剧,http://112.46.85.60:8009/hls/8/index.m3u8
CCTV-8电视剧,http://123.182.60.29:9002/hls/8/index.m3u8
CCTV-8电视剧,http://113.220.234.228:9999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://223.241.247.214:9901/tsfile/live/0008_1.m3u8
CCTV-8电视剧,http://223.241.247.214:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://58.17.48.228:808/hls/8/index.m3u8
CCTV-8电视剧,http://58.17.116.69:9908/tsfile/live/0001_9.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://183.94.1.118:8801/tsfile/live/0008_1.m3u8
CCTV-9纪录,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-9纪录,https://www.freetv.top/migu/673168140.m3u8?migutoken=749c49cdc31bb395e0349adc81010adc8707f80e51e9d3491ad67bfa71388ad768f7b52c8064338a7ef45eb7ddb192fb4937b21681c82499a0c16653ad9a9bec98ff5ce6ab183e4029bbdf269e
CCTV-9纪录,http://219.135.180.210:18888/hls/9/index.m3u8
CCTV-9纪录,http://113.140.86.162:8009/hls/509/index.m3u8
CCTV-9纪录,http://112.46.85.60:8009/hls/509/index.m3u8
CCTV-9纪录,http://123.182.60.29:9002/hls/51/index.m3u8
CCTV-9纪录,http://113.220.234.228:9999/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录,http://223.241.247.214:9901/tsfile/live/0009_1.m3u8
CCTV-9纪录,http://58.17.48.228:808/hls/9/index.m3u8
CCTV-9纪录,http://183.94.1.118:8801/tsfile/live/0009_1.m3u8
CCTV-10科教,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-10科教,https://www.freetv.top/migu/624878405.m3u8?migutoken=07b6e1d4124dd85ca8138b8d8dcd646323952053748d7d5ac0a2b31dcb6626c605fb05470545bd0f7e0d23e807e6909b517b2b8b5e2eaa926600edaa15d80aee9b900245924108c86040411cd4
CCTV-10科教,http://219.135.180.210:18888/hls/10/index.m3u8
CCTV-10科教,http://113.140.86.162:8009/hls/506/index.m3u8
CCTV-10科教,http://113.220.234.228:9999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://223.241.247.214:9901/tsfile/live/0010_1.m3u8
CCTV-10科教,http://58.17.48.228:808/hls/10/index.m3u8
CCTV-10科教,http://183.94.1.118:8801/tsfile/live/0010_1.m3u8
CCTV-10科教,http://110.80.17.38:9901/tsfile/live/0010_1.m3u8
CCTV-10科教,http://110.80.17.38:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV-10科教,http://117.144.58.42:35455/gaoma/cctv10.m3u8
CCTV-10科教,http://hangfun.top:35455/gaoma/cctv10.m3u8
CCTV-12社会与法,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-12社会与法,https://www.freetv.top/migu/673168185.m3u8?migutoken=37acadb43b1d7932b0a1e8a4f2d01a06b42a10c31f3ccb417bae200ac3028f30a8110509f2cd6cd130aee4b21c85693aa49817f3381e4d28e140d8db1a20b6fecea22fec17a70ff1341efe6081
CCTV-12社会与法,http://219.135.180.210:18888/hls/12/index.m3u8
CCTV-12社会与法,http://113.140.86.162:8009/hls/507/index.m3u8
CCTV-12社会与法,http://112.46.85.60:8009/hls/507/index.m3u8
CCTV-12社会与法,http://113.220.234.228:9999/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12社会与法,http://223.241.247.214:9901/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://183.94.1.118:8801/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://110.80.17.38:9901/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://110.80.17.38:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV-12社会与法,http://202.100.46.58:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12社会与法,http://117.144.58.42:35455/gaoma/cctv12.m3u8
CCTV-13新闻,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-13新闻,https://www.freetv.top/migu/608807423.m3u8?migutoken=ac19a58805588401a8e818b6dd00df9b327912af3611ba95f89235e7020821668a2b6dc65ccc3904967da59d0a9742565c56ea582baf8915d068035054818ef0f369dab64705a6a7f7120529ec
CCTV-13新闻,http://219.135.180.210:18888/hls/13/index.m3u8
CCTV-13新闻,http://123.182.60.29:9002/hls/13/index.m3u8
CCTV-13新闻,http://223.241.247.214:9901/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://183.94.1.118:8801/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://110.80.17.38:9901/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://110.80.17.38:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-13新闻,http://117.144.58.42:35455/gaoma/cctv13.m3u8
CCTV-13新闻,http://61.173.144.157:9901/tsfile/live/0013_1.m3u8
CCTV-13新闻,http://61.173.144.157:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13新闻,http://tv.kmhlzxs.top:35455/gaoma/cctv13.m3u8
CCTV-13新闻,http://3.itv.nctv.top:35455/gaoma/cctv13.m3u8
CCTV-14少儿,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-14少儿,https://www.freetv.top/migu/624878440.m3u8?migutoken=239edad94ac0bbff14f123c7f8996ed7639110bd6cf64ec8ba8cf85842224956d452ec8b683385cb27f8a7685224a03e3aa4d914b8fe33249da9df699351b105c795452d03f2be0a1f1e39adb0
CCTV-14少儿,http://219.135.180.210:18888/hls/14/index.m3u8
CCTV-14少儿,http://113.220.234.228:9999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://223.241.247.214:9901/tsfile/live/0014_1.m3u8
CCTV-14少儿,http://223.241.247.214:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://58.17.48.228:808/hls/14/index.m3u8
CCTV-14少儿,http://183.94.1.118:8801/tsfile/live/0014_1.m3u8
CCTV-14少儿,http://117.144.58.42:35455/gaoma/cctv14.m3u8
CCTV-14少儿,http://hangfun.top:35455/gaoma/cctv14.m3u8
CCTV-14少儿,http://3.itv.nctv.top:35455/gaoma/cctv14.m3u8
CCTV-15音乐,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-15音乐,https://www.freetv.top/migu/673168223.m3u8?migutoken=4e8d5766579c6bef231494cabd07e5b49d965804790214280c9791e4c331fd90311cb62ea43d3a1899229bfa57be4afe5a567b32a6b78153fc9a9801e28a39435e078b48c211e71d6083519be4
CCTV-15音乐,http://219.135.180.210:18888/hls/15/index.m3u8
CCTV-15音乐,http://113.220.234.228:9999/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15音乐,http://223.241.247.214:9901/tsfile/live/0015_1.m3u8
CCTV-15音乐,http://183.94.1.118:8801/tsfile/live/0015_1.m3u8
CCTV-15音乐,http://117.144.58.42:35455/gaoma/cctv15.m3u8
CCTV-15音乐,http://hangfun.top:35455/gaoma/cctv15.m3u8
CCTV-15音乐,http://3.itv.nctv.top:35455/gaoma/cctv15.m3u8
CCTV-15音乐,http://112.18.54.52:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-15音乐,http://www.clmy.cc:35455/gaoma/cctv15.m3u8
CCTV-17农业农村,http://z.b.bkpcp.top/m.php?id=cctv17
CCTV-17农业农村,https://www.freetv.top/migu/673168256.m3u8?migutoken=11fec7586772852c5b34d75ff515080f8def9861a030c98c5861b036729d642445a7bc5b0cd43e7086ca1903346f6cbad01b639771ee3bd13e653bdb2d14f169744862c9695688b0b177bc144a
CCTV-17农业农村,http://219.135.180.210:18888/hls/24/index.m3u8
CCTV-17农业农村,http://110.80.17.38:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV-17农业农村,http://117.144.58.42:35455/gaoma/cctv17.m3u8
CCTV-17农业农村,http://3.itv.nctv.top:35455/gaoma/cctv17.m3u8
CCTV-17农业农村,http://112.18.54.52:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV-17农业农村,http://www.clmy.cc:35455/gaoma/cctv17.m3u8
CCTV-17农业农村,http://nas.zyylover.homes:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV-17农业农村,http://60.11.200.120:35455/gaoma/cctv17.m3u8
CCTV-17农业农村,http://60.11.200.120:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV1 综合,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV1 综合,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344
CCTV1 综合,http://219.135.180.210:18888/hls/1/index.m3u8
CCTV1 综合,http://113.140.86.162:8009/hls/501/index.m3u8
CCTV1 综合,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV1 综合,http://219.139.42.24:8001/hls/1/index.m3u8
CCTV1 综合,http://113.220.234.228:9999/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8
CCTV2 财经,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV2 财经,https://www.freetv.top/migu/631780532.m3u8?migutoken=11ecfe0a296dcd532df72244565e20008b5a2e6936c05e73d9c90abe54b5bbffc942f2912e3fdd518714c4a7ad984beed028d07db3d49b8d1e21c54686ebfa8546f79a57d969866753cca722cc
CCTV2 财经,http://219.135.180.210:18888/hls/2/index.m3u8
CCTV2 财经,http://113.140.86.162:8009/hls/502/index.m3u8
CCTV2 财经,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV2 财经,http://113.220.234.228:9999/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8
CCTV2 财经,http://112.123.206.32:808/hls/2/index.m3u8
CCTV2 财经,http://183.94.1.118:8801/tsfile/live/0002_1.m3u8
CCTV3 综艺,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV3 综艺,https://www.freetv.top/migu/624878271.m3u8?migutoken=380a18fe8dc81109270780918e605114ca218bcfa395aaa8682b605d1622439ffe7981dbd10f378c9c045f872d48dce39babcb012c7362dc8b21835e88fde6457bacaa4082c74879d64ad7aee4
CCTV3 综艺,http://219.135.180.210:18888/hls/3/index.m3u8
CCTV3 综艺,http://113.140.86.162:8009/hls/3/index.m3u8
CCTV3 综艺,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV3 综艺,http://113.220.234.228:9999/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://223.241.247.214:9901/tsfile/live/0003_1.m3u8
CCTV3 综艺,http://58.17.48.228:808/hls/3/index.m3u8
CCTV3 综艺,http://183.94.1.118:8801/tsfile/live/0003_1.m3u8
CCTV4 中文国际,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV4 中文国际,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV4 中文国际,https://www.freetv.top/migu/631780421.m3u8?migutoken=fefc6a44400a0dd448699ae0ce3d6e2c5a0f49b8d48adb36e747c4fbab039337eb3244f9951acbddaf26b7bf51597a7d1b43c8845e67fd5914ece875dcad325bb388200bc0f12fdff727d03e2d
CCTV4 中文国际,https://www.freetv.top/migu/608807419.m3u8?migutoken=77b074e1b49cf260629d9642f9505e978eaabf572bfa1abe5f2e3ef60f5e4929c900274758111d707a7cca2a7368eb2b1af1415da7e0b2dbfcbdbeb4cb8566210f2994ffde97ad1e11a037a174
CCTV4 中文国际,https://www.freetv.top/migu/608807416.m3u8?migutoken=94d24df192f212e52d7c222dfab7df5ce4aad53db2766a6c4275a4c1e796cf13fb231906f792af9bc717ce1ccafa62165ebdc66b02fb0882cd5beac443921d36883a491d2b549a5509d63534e1
CCTV4 中文国际,http://219.135.180.210:18888/hls/4/index.m3u8
CCTV4 中文国际,http://113.140.86.162:8009/hls/4/index.m3u8
CCTV4 中文国际,http://112.46.85.60:8009/hls/4/index.m3u8
CCTV4 中文国际,http://183.94.1.118:8801/tsfile/live/0004_1.m3u8
CCTV4 中文国际,http://110.80.17.38:9901/tsfile/live/0004_1.m3u8
CCTV4 中文国际,http://110.80.17.38:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5 体育,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5 体育,https://www.freetv.top/migu/641886683.m3u8?migutoken=3e5c01f93922de8d1c940fe15bb47349b27e8f7a2e624dde1a83dff3b2a80f58b7624151a3a4d00488edee34f202818557340903382fae02bb754084eb942bd50e59061df36fab62fb5b908903
CCTV5 体育,http://219.159.91.10:9901/tsfile/live/0005_1.m3u8
CCTV5 体育,http://219.135.180.210:18888/hls/5/index.m3u8
CCTV5 体育,http://113.140.86.162:8009/hls/503/index.m3u8
CCTV5 体育,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV5 体育,http://123.182.60.29:9002/hls/7/index.m3u8
CCTV5 体育,http://113.220.234.228:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5 体育,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8
CCTV5 体育,http://58.17.48.228:808/hls/5/index.m3u8
CCTV5 体育,http://183.94.1.118:8801/tsfile/live/0005_1.m3u8
CCTV5+ 体育赛事,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV5+ 体育赛事,https://www.freetv.top/migu/641886773.m3u8?migutoken=03a1b82e35e58cd89a95034ecb29e77e50493397000ec2b1e4d1ce59af01e6420d6dbc068c8230ec03be3a35a20eed8714e0959e3570a08713a7a2e8d86085eabf8f1aa85744c80c38343988b2
CCTV5+ 体育赛事,http://123.182.60.29:9002/hls/17/index.m3u8
CCTV5+ 体育赛事,http://117.144.58.42:35455/gaoma/cctv5p.m3u8
CCTV5+ 体育赛事,http://tv.kmhlzxs.top:35455/gaoma/cctv5p.m3u8
CCTV5+ 体育赛事,http://www.douzhicloud.site:35455/gaoma/cctv5p.m3u8
CCTV5+ 体育赛事,http://3.itv.nctv.top:35455/gaoma/cctv5p.m3u8
CCTV5+ 体育赛事,http://112.18.54.52:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV5+ 体育赛事,http://nas.zyylover.homes:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV5+ 体育赛事,http://60.11.200.120:35455/gaoma/cctv5p.m3u8
CCTV5+ 体育赛事,http://60.11.200.120:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6 电影,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV6 电影,https://www.freetv.top/migu/624878396.m3u8?migutoken=8e4f91b7950497f8570c74e50003b7fa23f6565c16a6b361ff855d3a969ddf7ea3826b04d20d76b6eeb472f0cb8b86284614a835429165709ec8c3055f8e9a7879e9594a4309b5d50f59f8a535
CCTV6 电影,http://58.17.116.69:9904/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6 电影,http://219.135.180.210:18888/hls/6/index.m3u8
CCTV6 电影,http://113.140.86.162:8009/hls/6/index.m3u8
CCTV6 电影,http://123.182.60.29:9002/hls/6/index.m3u8
CCTV6 电影,http://113.220.234.228:9999/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6 电影,http://223.241.247.214:9901/tsfile/live/0006_1.m3u8
CCTV6 电影,http://223.241.247.214:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6 电影,http://58.17.48.228:808/hls/6/index.m3u8
CCTV6 电影,http://183.94.1.118:8801/tsfile/live/0006_1.m3u8
CCTV6 电影,http://110.80.17.38:9901/tsfile/live/0006_1.m3u8
CCTV7 国防军事,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV7 国防军事,https://www.freetv.top/migu/673168121.m3u8?migutoken=a878b713604abd82c57cce75de174e0284d3f101e21d0c3e362670e4b5a5e75d9b42846e5e0adf92c1ad15c63d60934f3e68c25f787bc0665d12acde75a6db4761278e79b762292ed5b5a2fae3
CCTV7 国防军事,http://219.135.180.210:18888/hls/7/index.m3u8
CCTV7 国防军事,http://113.140.86.162:8009/hls/504/index.m3u8
CCTV7 国防军事,http://112.46.85.60:8009/hls/504/index.m3u8
CCTV7 国防军事,http://123.182.60.29:9002/hls/9/index.m3u8
CCTV7 国防军事,http://113.220.234.228:9999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7 国防军事,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8
CCTV7 国防军事,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7 国防军事,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7 国防军事,http://183.94.1.118:8801/tsfile/live/0007_1.m3u8
CCTV7 国防军事,http://110.80.17.38:9901/tsfile/live/0007_1.m3u8
CCTV8 电视剧,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV8 电视剧,https://www.freetv.top/migu/624878356.m3u8?migutoken=170b73b07e0cf0d307afea3545da5b9609d7c15461a2f4ac0f43634101df9baf391a446b91e5f84446b6a3b0934bb4730e2f3c4a32a565f904f22c8ff745a094d45dfd49c54f31b0b78156a080
CCTV8 电视剧,http://219.135.180.210:18888/hls/8/index.m3u8
CCTV8 电视剧,http://113.140.86.162:8009/hls/8/index.m3u8
CCTV8 电视剧,http://112.46.85.60:8009/hls/8/index.m3u8
CCTV8 电视剧,http://123.182.60.29:9002/hls/8/index.m3u8
CCTV8 电视剧,http://113.220.234.228:9999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8 电视剧,http://223.241.247.214:9901/tsfile/live/0008_1.m3u8
CCTV8 电视剧,http://223.241.247.214:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8 电视剧,http://58.17.48.228:808/hls/8/index.m3u8
CCTV8 电视剧,http://58.17.116.69:9908/tsfile/live/0001_9.m3u8?key=txiptv&playlive=1&authid=0
CCTV8 电视剧,http://183.94.1.118:8801/tsfile/live/0008_1.m3u8
CCTV9 纪录,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV9 纪录,https://www.freetv.top/migu/673168140.m3u8?migutoken=749c49cdc31bb395e0349adc81010adc8707f80e51e9d3491ad67bfa71388ad768f7b52c8064338a7ef45eb7ddb192fb4937b21681c82499a0c16653ad9a9bec98ff5ce6ab183e4029bbdf269e
CCTV9 纪录,http://219.135.180.210:18888/hls/9/index.m3u8
CCTV9 纪录,http://113.140.86.162:8009/hls/509/index.m3u8
CCTV9 纪录,http://112.46.85.60:8009/hls/509/index.m3u8
CCTV9 纪录,http://123.182.60.29:9002/hls/51/index.m3u8
CCTV9 纪录,http://113.220.234.228:9999/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9 纪录,http://223.241.247.214:9901/tsfile/live/0009_1.m3u8
CCTV9 纪录,http://58.17.48.228:808/hls/9/index.m3u8
CCTV9 纪录,http://183.94.1.118:8801/tsfile/live/0009_1.m3u8
CCTV 10 科教,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV 10 科教,https://www.freetv.top/migu/624878405.m3u8?migutoken=07b6e1d4124dd85ca8138b8d8dcd646323952053748d7d5ac0a2b31dcb6626c605fb05470545bd0f7e0d23e807e6909b517b2b8b5e2eaa926600edaa15d80aee9b900245924108c86040411cd4
CCTV 10 科教,http://219.135.180.210:18888/hls/10/index.m3u8
CCTV 10 科教,http://113.140.86.162:8009/hls/506/index.m3u8
CCTV 10 科教,http://113.220.234.228:9999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 10 科教,http://223.241.247.214:9901/tsfile/live/0010_1.m3u8
CCTV 10 科教,http://58.17.48.228:808/hls/10/index.m3u8
CCTV 10 科教,http://183.94.1.118:8801/tsfile/live/0010_1.m3u8
CCTV 10 科教,http://110.80.17.38:9901/tsfile/live/0010_1.m3u8
CCTV 10 科教,http://110.80.17.38:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV 10 科教,http://117.144.58.42:35455/gaoma/cctv10.m3u8
CCTV 10 科教,http://hangfun.top:35455/gaoma/cctv10.m3u8
CCTV 11 戏曲,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV 11 戏曲,https://www.freetv.top/migu/667987558.m3u8?migutoken=16827d54043eba69d051685229b1d0623c01f398f643b3a7d912c9929d6525025ef57eb61666d45bb70dfc86405aa336ca762f0bda4f0284d98eddae4042805df42661f954a1d40820829ec8c2
CCTV 11 戏曲,http://219.135.180.210:18888/hls/11/index.m3u8
CCTV 11 戏曲,http://113.220.234.228:9999/tsfile/live/0011_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV 11 戏曲,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8
CCTV 11 戏曲,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV 11 戏曲,http://183.94.1.118:8801/tsfile/live/0011_1.m3u8
CCTV 11 戏曲,http://110.80.17.38:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV 11 戏曲,http://117.144.58.42:35455/gaoma/cctv11.m3u8
CCTV 11 戏曲,http://hangfun.top:35455/gaoma/cctv11.m3u8
CCTV 11 戏曲,http://tv.kmhlzxs.top:35455/gaoma/cctv11.m3u8
CCTV 11 戏曲,http://3.itv.nctv.top:35455/gaoma/cctv11.m3u8
CCTV 12 社会与法,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV 12 社会与法,https://www.freetv.top/migu/673168185.m3u8?migutoken=37acadb43b1d7932b0a1e8a4f2d01a06b42a10c31f3ccb417bae200ac3028f30a8110509f2cd6cd130aee4b21c85693aa49817f3381e4d28e140d8db1a20b6fecea22fec17a70ff1341efe6081
CCTV 12 社会与法,http://219.135.180.210:18888/hls/12/index.m3u8
CCTV 12 社会与法,http://113.140.86.162:8009/hls/507/index.m3u8
CCTV 12 社会与法,http://112.46.85.60:8009/hls/507/index.m3u8
CCTV 12 社会与法,http://113.220.234.228:9999/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV 12 社会与法,http://223.241.247.214:9901/tsfile/live/0012_1.m3u8
CCTV 12 社会与法,http://183.94.1.118:8801/tsfile/live/0012_1.m3u8
CCTV 12 社会与法,http://110.80.17.38:9901/tsfile/live/0012_1.m3u8
CCTV 12 社会与法,http://110.80.17.38:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV 12 社会与法,http://202.100.46.58:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 12 社会与法,http://117.144.58.42:35455/gaoma/cctv12.m3u8
CCTV 13 新闻,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV 13 新闻,https://www.freetv.top/migu/608807423.m3u8?migutoken=ac19a58805588401a8e818b6dd00df9b327912af3611ba95f89235e7020821668a2b6dc65ccc3904967da59d0a9742565c56ea582baf8915d068035054818ef0f369dab64705a6a7f7120529ec
CCTV 13 新闻,http://219.135.180.210:18888/hls/13/index.m3u8
CCTV 13 新闻,http://123.182.60.29:9002/hls/13/index.m3u8
CCTV 13 新闻,http://223.241.247.214:9901/tsfile/live/0013_1.m3u8
CCTV 13 新闻,http://183.94.1.118:8801/tsfile/live/0013_1.m3u8
CCTV 13 新闻,http://110.80.17.38:9901/tsfile/live/0013_1.m3u8
CCTV 13 新闻,http://110.80.17.38:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV 13 新闻,http://117.144.58.42:35455/gaoma/cctv13.m3u8
CCTV 13 新闻,http://61.173.144.157:9901/tsfile/live/0013_1.m3u8
CCTV 13 新闻,http://61.173.144.157:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 13 新闻,http://tv.kmhlzxs.top:35455/gaoma/cctv13.m3u8
CCTV 13 新闻,http://3.itv.nctv.top:35455/gaoma/cctv13.m3u8
CCTV 14 少儿,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV 14 少儿,https://www.freetv.top/migu/624878440.m3u8?migutoken=239edad94ac0bbff14f123c7f8996ed7639110bd6cf64ec8ba8cf85842224956d452ec8b683385cb27f8a7685224a03e3aa4d914b8fe33249da9df699351b105c795452d03f2be0a1f1e39adb0
CCTV 14 少儿,http://219.135.180.210:18888/hls/14/index.m3u8
CCTV 14 少儿,http://113.220.234.228:9999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 14 少儿,http://223.241.247.214:9901/tsfile/live/0014_1.m3u8
CCTV 14 少儿,http://223.241.247.214:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 14 少儿,http://58.17.48.228:808/hls/14/index.m3u8
CCTV 14 少儿,http://183.94.1.118:8801/tsfile/live/0014_1.m3u8
CCTV 14 少儿,http://117.144.58.42:35455/gaoma/cctv14.m3u8
CCTV 14 少儿,http://hangfun.top:35455/gaoma/cctv14.m3u8
CCTV 14 少儿,http://3.itv.nctv.top:35455/gaoma/cctv14.m3u8
CCTV 15 音乐,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV 15 音乐,https://www.freetv.top/migu/673168223.m3u8?migutoken=4e8d5766579c6bef231494cabd07e5b49d965804790214280c9791e4c331fd90311cb62ea43d3a1899229bfa57be4afe5a567b32a6b78153fc9a9801e28a39435e078b48c211e71d6083519be4
CCTV 15 音乐,http://219.135.180.210:18888/hls/15/index.m3u8
CCTV 15 音乐,http://113.220.234.228:9999/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV 15 音乐,http://223.241.247.214:9901/tsfile/live/0015_1.m3u8
